Source,Target,Year,QuadClass,ECount,NSources,MaxSources,AvgSources,StdDevSources
RUS,TKM,2009,1,459,546,16,1.1895424836601307,0.862247753027909
RUS,MEA,2013,3,8,26,16,3.25,5.257647491307985
RUS,TCD,2017,1,3,19,16,6.333333333333333,8.386497083606084
RUS,PRK,2013,1,233,329,16,1.4120171673819744,1.5319110669178513
RUS,SWE,2013,1,86,158,16,1.8372093023255813,2.0968349544647977
RUS,NOR,2017,3,41,75,16,1.829268292682927,2.528857835312122
RUS,NLD,2015,2,19,54,16,2.8421052631578947,4.6816801102778
RUS,VNM,2015,4,20,70,16,3.5,5.206271521722118
RUS,FRA,2012,2,50,78,16,1.56,2.4088273038123424
RUS,LBY,2009,1,31,63,16,2.032258064516129,3.737056515206783
RUS,TKM,2015,3,6,32,16,5.333333333333333,6.831300510639733
RUS,POL,2011,3,44,75,16,1.7045454545454546,2.5479544504576146
RUS,TKM,2010,1,241,346,16,1.4356846473029046,2.30149689697922
RUS,EGY,2013,3,43,66,16,1.5348837209302326,2.323265735260055
RUS,CUB,2015,1,422,593,15,1.40521327014218,1.5578386047030979
RUS,PAK,2016,4,75,147,15,1.96,2.9059119608694832
RUS,VAT,2009,1,79,128,15,1.620253164556962,2.2263215462717203
RUS,SGP,2010,3,2,17,15,8.5,9.192388155425117
RUS,CUB,2017,1,80,113,15,1.4125,2.1388139976294562
RUS,GBR,2010,1,253,379,15,1.4980237154150198,1.897417848418961
RUS,CHN,2016,4,77,101,15,1.3116883116883118,1.6324000756050183
RUS,NOR,2016,1,121,196,15,1.6198347107438016,2.0544918201634332
RUS,EUR,2013,3,180,243,15,1.35,1.3306653941023092
RUS,WST,2011,1,400,630,15,1.575,1.646557889114596
RUS,IRN,2013,3,104,138,15,1.3269230769230769,1.5606963077098563
RUS,EUR,2012,3,103,200,15,1.941747572815534,2.750491017548794
RUS,POL,2012,3,21,37,15,1.7619047619047619,3.064388387668278
RUS,ZAF,2014,1,134,248,15,1.8507462686567164,2.4602324686496604
RUS,PAK,2016,1,613,971,15,1.5840130505709624,1.7890933768086321
RUS,AFG,2011,1,226,329,15,1.4557522123893805,2.0976786345586813
RUS,SDN,2017,2,5,32,15,6.4,6.06630035524124
RUS,JPN,2010,2,50,113,15,2.26,2.7315989187765513
RUS,USA,2009,2,174,220,15,1.264367816091954,1.4260967394156971
RUS,CAN,2010,1,124,193,15,1.5564516129032258,2.073065439081175
RUS,IND,2016,1,233,327,15,1.4034334763948497,1.5370107200438365
RUS,MLI,2015,3,20,89,15,4.45,4.616617581599849
RUS,MEA,2015,1,51,130,15,2.549019607843137,3.0483682552486733
RUS,AUS,2014,3,158,281,15,1.7784810126582278,2.0209836090490265
RUS,JPN,2016,2,40,61,15,1.525,2.2869473551282735
RUS,PSE,2016,1,249,366,15,1.4698795180722892,1.8250321433156327
RUS,GBR,2007,1,730,988,15,1.3534246575342466,1.118994526108041
RUS,UKR,2013,4,88,187,15,2.125,2.807266842755919
RUS,IRQ,2014,1,256,386,15,1.5078125,1.6756437159328046
RUS,THA,2017,4,29,69,15,2.3793103448275863,2.883621149867054
RUS,MEA,2013,1,138,252,15,1.826086956521739,1.9850280605428468
RUS,CAN,2014,3,218,429,15,1.9678899082568808,2.485696621249882
RUS,CHE,2011,1,201,300,15,1.492537313432836,1.9700746254522303
RUS,UZB,2015,2,22,51,14,2.3181818181818183,3.64347248855975
RUS,EUR,2009,1,918,1318,14,1.4357298474945535,1.3265628058501304
RUS,CHN,2017,2,69,155,14,2.246376811594203,3.246744057293712
RUS,CAN,2017,1,277,392,14,1.4151624548736461,1.4003833813699529
RUS,IRL,2015,3,9,35,14,3.888888888888889,5.464532103585
RUS,NZL,2014,1,32,81,14,2.53125,3.8098715159099434
RUS,AFG,2009,3,23,40,14,1.7391304347826086,2.717241102568222
RUS,SEA,2014,1,27,73,14,2.7037037037037037,3.4620449138847094
RUS,LBY,2017,1,283,404,14,1.4275618374558303,1.4746859476553695
RUS,GIN,2016,1,9,35,14,3.888888888888889,5.73246117397328
RUS,SWE,2010,4,2,15,14,7.5,9.192388155425117
RUS,WST,2013,1,127,246,14,1.937007874015748,2.4127572039752225
RUS,THA,2015,1,238,305,14,1.281512605042017,1.3964068650475174
RUS,BGR,2011,3,5,31,14,6.2,7.12039324756716
RUS,MEX,2010,3,3,16,14,5.333333333333333,7.505553499465135
RUS,SGP,2011,1,17,89,14,5.235294117647059,5.238432634919365
RUS,FIN,2009,3,47,75,14,1.5957446808510638,2.6511652439609104
RUS,USA,2007,1,2879,3538,14,1.2288989232372352,0.8562722044490954
RUS,LBY,2015,1,111,239,14,2.1531531531531534,2.838687911368394
RUS,SYR,2012,4,242,353,14,1.4586776859504131,1.6699526378598402
RUS,TJK,2009,1,373,492,14,1.3190348525469169,1.5683657446517656
RUS,DEU,2014,3,229,338,14,1.4759825327510918,1.4526411275010738
RUS,DEU,2014,2,99,166,14,1.6767676767676767,2.1084295482090156
RUS,DZA,2010,1,132,176,14,1.3333333333333333,1.3403125228964623
RUS,IND,2013,1,190,273,14,1.436842105263158,1.5681048874039987
RUS,AFG,2014,1,170,210,14,1.2352941176470589,1.0730375931422695
RUS,SYR,2011,3,249,407,14,1.6345381526104417,1.8002497271744649
RUS,DEU,2015,3,214,345,14,1.6121495327102804,1.7344999837121455
RUS,PAK,2014,1,493,934,14,1.894523326572008,2.3523536099108178
RUS,UKR,2012,3,80,113,13,1.4125,1.6124024845403515
RUS,SYR,2014,2,98,124,13,1.2653061224489797,1.312517219587883
RUS,EGY,2014,1,444,574,13,1.2927927927927927,1.1943593321545225
RUS,VAT,2013,1,136,248,13,1.8235294117647058,2.0615792326422655
RUS,IRL,2013,1,152,234,13,1.5394736842105263,1.9762885106807124
RUS,MEA,2014,3,16,60,13,3.75,4.449719092257398
RUS,MEA,2012,3,22,49,13,2.227272727272727,2.84407183255708
RUS,CZE,2009,1,355,535,13,1.5070422535211268,1.4640054127263604
RUS,SWE,2015,1,145,228,13,1.5724137931034483,1.6061722423297728
