Actor1CountryCode,Actor2CountryCode,Year,ECount,AvgQuadClass
USA,NZL,2012,5326,1.6517085993240705
USA,POL,2012,5954,1.9363453140745717
USA,RUS,2012,42063,1.7046810736276539
USA,UKR,2012,3941,1.913473737630043
USA,ARE,2012,3178,1.7655758338577723
USA,COD,2012,694,2.0792507204610953
USA,EGY,2012,26143,1.7633018398806564
USA,NGA,2012,6397,1.9188682194778803
MYS,USA,2012,2673,1.6221473999251776
NAM,USA,2012,206,1.5194174757281553
NGA,USA,2012,6556,1.7297132397803539
CHN,USA,2012,60710,1.5873167517707132
USA,BHR,2012,2110,1.6592417061611375
NIC,USA,2012,1651,1.4948516050878256
NLD,USA,2012,7938,1.68392542202066
NMR,USA,2012,4368,1.4603937728937728
NOR,USA,2012,3862,1.6434489901605387
NPL,USA,2012,1764,1.6581632653061225
NZL,USA,2012,5571,1.63669000179501
OMN,USA,2012,741,1.4062078272604588
PAK,USA,2012,31284,1.9701444828027106
PAN,USA,2012,1951,1.6386468477703742
PER,USA,2012,3589,1.733073279465032
PHL,USA,2012,10639,1.6682958924710969
POL,USA,2012,5409,1.6542799038639304
PRK,USA,2012,7674,1.6776127182694813
PRT,USA,2012,1740,1.7477011494252874
PSE,USA,2012,7090,1.6785613540197462
RUS,USA,2012,41283,1.6930940096407723
RWA,USA,2012,798,1.518796992481203
SAS,USA,2012,367,1.5286103542234333
SAU,USA,2012,6445,1.669511249030256
SRB,USA,2012,766,1.6801566579634464
SDN,USA,2012,3981,1.8814368249183622
SGP,USA,2012,2902,1.4290144727773948
SOM,USA,2012,4369,1.9448386358434424
SWE,USA,2012,4553,1.7291895453547113
SYC,USA,2012,936,1.5940170940170941
SYR,USA,2012,23773,1.8555924788625753
TCD,USA,2012,1582,1.9140328697850821
THA,USA,2012,4304,1.667053903345725
TTO,USA,2012,550,1.7381818181818183
TUR,USA,2012,13703,1.5398088009924833
UGA,USA,2012,2175,1.5544827586206897
UKR,USA,2012,3532,1.7964326160815403
USA,AFG,2012,66932,1.9663539114324986
USA,AFR,2012,14387,1.6232015013553902
USA,ALB,2012,459,1.7559912854030502
